PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Child,Young,Young_m,Young_f,Cabin_known,Age_known,Family,Alone,LargeFamily,Deck,Bad_ticket,Fare_cat
1,0,3,1,22.0,1,0,7.25,2,0,1,1,0,0,1,1,0,0,8,1,0
2,1,1,0,38.0,1,0,71.2833,0,0,1,0,1,1,1,1,0,0,2,0,1
3,1,3,0,26.0,0,0,7.925,2,0,1,0,1,0,1,0,1,0,8,0,0
4,1,1,0,35.0,1,0,53.1,2,0,1,0,1,1,1,1,0,0,2,0,1
5,0,3,1,35.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
6,0,3,1,,0,0,8.4583,1,0,0,0,0,0,0,0,1,0,8,1,0
7,0,1,1,54.0,0,0,51.8625,2,0,0,0,0,1,1,0,1,0,4,0,1
8,0,3,1,2.0,3,1,21.075,2,1,0,0,0,0,1,4,0,1,8,1,1
9,1,3,0,27.0,0,2,11.1333,2,0,1,0,1,0,1,2,0,0,8,1,1
10,1,2,0,14.0,1,0,30.0708,0,0,0,0,0,0,1,1,0,0,8,0,1
11,1,3,0,4.0,1,1,16.7,2,1,0,0,0,1,1,2,0,0,6,0,1
12,1,1,0,58.0,0,0,26.55,2,0,0,0,0,1,1,0,1,0,2,0,1
13,0,3,1,20.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
14,0,3,1,39.0,1,5,31.275,2,0,1,1,0,0,1,6,0,1,8,1,1
15,0,3,0,14.0,0,0,7.8542,2,0,0,0,0,0,1,0,1,0,8,1,0
16,1,2,0,55.0,0,0,16.0,2,0,0,0,0,0,1,0,1,0,8,0,1
17,0,3,1,2.0,4,1,29.125,1,1,0,0,0,0,1,5,0,1,8,1,1
18,1,2,1,,0,0,13.0,2,0,0,0,0,0,0,0,1,0,8,0,1
19,0,3,0,31.0,1,0,18.0,2,0,1,0,1,0,1,1,0,0,8,1,1
20,1,3,0,33.515151515151516,0,0,7.225,0,0,1,0,1,0,0,0,1,0,8,0,0
21,0,2,1,35.0,0,0,26.0,2,0,1,1,0,0,1,0,1,0,8,0,1
22,1,2,1,34.0,0,0,13.0,2,0,1,1,0,1,1,0,1,0,3,0,1
23,1,3,0,15.0,0,0,8.0292,1,0,0,0,0,0,1,0,1,0,8,1,0
24,1,1,1,28.0,0,0,35.5,2,0,1,1,0,1,1,0,1,0,0,0,1
25,0,3,0,8.0,3,1,21.075,2,1,0,0,0,0,1,4,0,1,8,1,1
26,1,3,0,38.0,1,5,31.3875,2,0,1,0,1,0,1,6,0,1,8,1,1
27,0,3,1,,0,0,7.225,0,0,0,0,0,0,0,0,1,0,8,0,0
28,0,1,1,19.0,3,2,263.0,2,0,1,1,0,1,1,5,0,1,2,0,2
29,1,3,0,16.1231884057971,0,0,7.8792,1,1,0,0,0,0,0,0,1,0,8,1,0
30,0,3,1,,0,0,7.8958,2,0,0,0,0,0,0,0,1,0,8,1,0
31,0,1,1,40.0,0,0,27.7208,0,0,1,1,0,0,1,0,1,0,8,0,1
32,1,1,0,40.88235294117647,1,0,146.5208,0,0,0,0,0,1,0,1,0,0,1,0,2
33,1,3,0,16.1231884057971,0,0,7.75,1,1,0,0,0,0,0,0,1,0,8,1,0
34,0,2,1,66.0,0,0,10.5,2,0,0,0,0,0,1,0,1,0,8,0,1
35,0,1,1,28.0,1,0,82.1708,0,0,1,1,0,0,1,1,0,0,8,0,1
36,0,1,1,42.0,1,0,52.0,2,0,0,0,0,0,1,1,0,0,8,0,1
37,1,3,1,,0,0,7.2292,0,0,0,0,0,0,0,0,1,0,8,0,0
38,0,3,1,21.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
39,0,3,0,18.0,2,0,18.0,2,0,1,0,1,0,1,2,0,0,8,1,1
40,1,3,0,14.0,1,0,11.2417,0,0,0,0,0,0,1,1,0,0,8,0,1
41,0,3,0,40.0,1,0,9.475,2,0,1,0,1,0,1,1,0,0,8,1,1
42,0,2,0,27.0,1,0,21.0,2,0,1,0,1,0,1,1,0,0,8,0,1
43,0,3,1,,0,0,7.8958,0,0,0,0,0,0,0,0,1,0,8,1,0
44,1,2,0,3.0,1,2,41.5792,0,1,0,0,0,0,1,3,0,0,8,0,1
45,1,3,0,19.0,0,0,7.8792,1,0,1,0,1,0,1,0,1,0,8,1,0
46,0,3,1,,0,0,8.05,2,0,0,0,0,0,0,0,1,0,8,0,0
47,0,3,1,,1,0,15.5,1,0,0,0,0,0,0,1,0,0,8,1,1
48,1,3,0,16.1231884057971,0,0,7.75,1,1,0,0,0,0,0,0,1,0,8,0,0
49,0,3,1,,2,0,21.6792,0,0,0,0,0,0,0,2,0,0,8,0,1
50,0,3,0,18.0,1,0,17.8,2,0,1,0,1,0,1,1,0,0,8,1,1
51,0,3,1,7.0,4,1,39.6875,2,1,0,0,0,0,1,5,0,1,8,1,1
52,0,3,1,21.0,0,0,7.8,2,0,1,1,0,0,1,0,1,0,8,1,0
53,1,1,0,49.0,1,0,76.7292,0,0,0,0,0,1,1,1,0,0,3,0,1
54,1,2,0,29.0,1,0,26.0,2,0,1,0,1,0,1,1,0,0,8,0,1
55,0,1,1,65.0,0,1,61.9792,0,0,0,0,0,1,1,1,0,0,1,0,1
56,1,1,1,,0,0,35.5,2,0,0,0,0,1,0,0,1,0,2,0,1
57,1,2,0,21.0,0,0,10.5,2,0,1,0,1,0,1,0,1,0,8,0,1
58,0,3,1,28.5,0,0,7.2292,0,0,1,1,0,0,1,0,1,0,8,0,0
59,1,2,0,5.0,1,2,27.75,2,1,0,0,0,0,1,3,0,0,8,0,1
60,0,3,1,11.0,5,2,46.9,2,0,0,0,0,0,1,7,0,1,8,0,1
61,0,3,1,22.0,0,0,7.2292,0,0,1,1,0,0,1,0,1,0,8,0,0
62,1,1,0,38.0,0,0,80.0,0,0,1,0,1,1,1,0,1,0,1,0,1
63,0,1,1,45.0,1,0,83.475,2,0,0,0,0,1,1,1,0,0,2,1,1
64,0,3,1,4.0,3,2,27.9,2,1,0,0,0,0,1,5,0,1,8,1,1
65,0,1,1,,0,0,27.7208,0,0,0,0,0,0,0,0,1,0,8,0,1
66,1,3,1,27.704778156996586,1,1,15.2458,0,1,0,0,0,0,0,2,0,0,8,0,1
67,1,2,0,29.0,0,0,10.5,2,0,1,0,1,1,1,0,1,0,5,0,1
68,0,3,1,19.0,0,0,8.1583,2,0,1,1,0,0,1,0,1,0,8,0,0
69,1,3,0,17.0,4,2,7.925,2,0,0,0,0,0,1,6,0,1,8,1,0
70,0,3,1,26.0,2,0,8.6625,2,0,1,1,0,0,1,2,0,0,8,1,0
71,0,2,1,32.0,0,0,10.5,2,0,1,1,0,0,1,0,1,0,8,0,1
72,0,3,0,16.0,5,2,46.9,2,0,0,0,0,0,1,7,0,1,8,0,1
73,0,2,1,21.0,0,0,73.5,2,0,1,1,0,0,1,0,1,0,8,0,1
74,0,3,1,26.0,1,0,14.4542,0,0,1,1,0,0,1,1,0,0,8,0,1
75,1,3,1,32.0,0,0,56.4958,2,0,1,1,0,0,1,0,1,0,8,0,1
76,0,3,1,25.0,0,0,7.65,2,0,1,1,0,1,1,0,1,0,5,1,0
77,0,3,1,,0,0,7.8958,2,0,0,0,0,0,0,0,1,0,8,1,0
78,0,3,1,,0,0,8.05,2,0,0,0,0,0,0,0,1,0,8,1,0
79,1,2,1,0.83,0,2,29.0,2,1,0,0,0,0,1,2,0,0,8,0,1
80,1,3,0,30.0,0,0,12.475,2,0,1,0,1,0,1,0,1,0,8,1,1
81,0,3,1,22.0,0,0,9.0,2,0,1,1,0,0,1,0,1,0,8,1,1
82,1,3,1,29.0,0,0,9.5,2,0,1,1,0,0,1,0,1,0,8,1,1
83,1,3,0,16.1231884057971,0,0,7.7875,1,1,0,0,0,0,0,0,1,0,8,1,0
84,0,1,1,28.0,0,0,47.1,2,0,1,1,0,0,1,0,1,0,8,0,1
85,1,2,0,17.0,0,0,10.5,2,0,0,0,0,0,1,0,1,0,8,0,1
86,1,3,0,33.0,3,0,15.85,2,0,1,0,1,0,1,3,0,1,8,1,1
87,0,3,1,16.0,1,3,34.375,2,0,0,0,0,0,1,4,0,0,8,1,1
88,0,3,1,,0,0,8.05,2,0,0,0,0,0,0,0,1,0,8,0,0
89,1,1,0,23.0,3,2,263.0,2,0,1,0,1,1,1,5,0,1,2,0,2
90,0,3,1,24.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
91,0,3,1,29.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
92,0,3,1,20.0,0,0,7.8542,2,0,1,1,0,0,1,0,1,0,8,1,0
93,0,1,1,46.0,1,0,61.175,2,0,0,0,0,1,1,1,0,0,4,1,1
94,0,3,1,26.0,1,2,20.575,2,0,1,1,0,0,1,3,0,0,8,0,1
95,0,3,1,59.0,0,0,7.25,2,0,0,0,0,0,1,0,1,0,8,1,0
96,0,3,1,,0,0,8.05,2,0,0,0,0,0,0,0,1,0,8,1,0
97,0,1,1,71.0,0,0,34.6542,0,0,0,0,0,1,1,0,1,0,0,0,1
98,1,1,1,23.0,0,1,63.3583,0,0,1,1,0,1,1,1,0,0,3,0,1
99,1,2,0,34.0,0,1,23.0,2,0,1,0,1,0,1,1,0,0,8,0,1
100,0,2,1,34.0,1,0,26.0,2,0,1,1,0,0,1,1,0,0,8,0,1
101,0,3,0,28.0,0,0,7.8958,2,0,1,0,1,0,1,0,1,0,8,1,0
102,0,3,1,,0,0,7.8958,2,0,0,0,0,0,0,0,1,0,8,1,0
103,0,1,1,21.0,0,1,77.2875,2,0,1,1,0,1,1,1,0,0,3,1,1
104,0,3,1,33.0,0,0,8.6542,2,0,1,1,0,0,1,0,1,0,8,1,0
105,0,3,1,37.0,2,0,7.925,2,0,1,1,0,0,1,2,0,0,8,1,0
106,0,3,1,28.0,0,0,7.8958,2,0,1,1,0,0,1,0,1,0,8,1,0
107,1,3,0,21.0,0,0,7.65,2,0,1,0,1,0,1,0,1,0,8,1,0
108,1,3,1,,0,0,7.775,2,0,0,0,0,0,0,0,1,0,8,1,0
109,0,3,1,38.0,0,0,7.8958,2,0,1,1,0,0,1,0,1,0,8,1,0
110,1,3,0,16.1231884057971,1,0,24.15,1,1,0,0,0,0,0,1,0,0,8,1,1
111,0,1,1,47.0,0,0,52.0,2,0,0,0,0,1,1,0,1,0,2,0,1
112,0,3,0,14.5,1,0,14.4542,0,0,0,0,0,0,1,1,0,0,8,0,1
113,0,3,1,22.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
114,0,3,0,20.0,1,0,9.825,2,0,1,0,1,0,1,1,0,0,8,1,1
115,0,3,0,17.0,0,0,14.4583,0,0,0,0,0,0,1,0,1,0,8,0,1
116,0,3,1,21.0,0,0,7.925,2,0,1,1,0,0,1,0,1,0,8,0,0
117,0,3,1,70.5,0,0,7.75,1,0,0,0,0,0,1,0,1,0,8,1,0
118,0,2,1,29.0,1,0,21.0,2,0,1,1,0,0,1,1,0,0,8,0,1
119,0,1,1,24.0,0,1,247.5208,0,0,1,1,0,1,1,1,0,0,1,0,2
120,0,3,0,2.0,4,2,31.275,2,1,0,0,0,0,1,6,0,1,8,1,1
121,0,2,1,21.0,2,0,73.5,2,0,1,1,0,0,1,2,0,0,8,0,1
122,0,3,1,,0,0,8.05,2,0,0,0,0,0,0,0,1,0,8,1,0
123,0,2,1,32.5,1,0,30.0708,0,0,1,1,0,0,1,1,0,0,8,0,1
124,1,2,0,32.5,0,0,13.0,2,0,1,0,1,1,1,0,1,0,4,0,1
125,0,1,1,54.0,0,1,77.2875,2,0,0,0,0,1,1,1,0,0,3,1,1
126,1,3,1,12.0,1,0,11.2417,0,0,0,0,0,0,1,1,0,0,8,0,1
127,0,3,1,,0,0,7.75,1,0,0,0,0,0,0,0,1,0,8,1,0
128,1,3,1,24.0,0,0,7.1417,2,0,1,1,0,0,1,0,1,0,8,0,0
129,1,3,0,16.1231884057971,1,1,22.3583,0,1,0,0,0,1,0,2,0,0,5,0,1
130,0,3,1,45.0,0,0,6.975,2,0,0,0,0,0,1,0,1,0,8,1,0
131,0,3,1,33.0,0,0,7.8958,0,0,1,1,0,0,1,0,1,0,8,1,0
132,0,3,1,20.0,0,0,7.05,2,0,1,1,0,0,1,0,1,0,8,0,0
133,0,3,0,47.0,1,0,14.5,2,0,0,0,0,0,1,1,0,0,8,1,1
134,1,2,0,29.0,1,0,26.0,2,0,1,0,1,0,1,1,0,0,8,0,1
135,0,2,1,25.0,0,0,13.0,2,0,1,1,0,0,1,0,1,0,8,0,1
136,0,2,1,23.0,0,0,15.0458,0,0,1,1,0,0,1,0,1,0,8,0,1
137,1,1,0,19.0,0,2,26.2833,2,0,1,0,1,1,1,2,0,0,3,0,1
138,0,1,1,37.0,1,0,53.1,2,0,1,1,0,1,1,1,0,0,2,0,1
139,0,3,1,16.0,0,0,9.2167,2,0,0,0,0,0,1,0,1,0,8,1,1
140,0,1,1,24.0,0,0,79.2,0,0,1,1,0,1,1,0,1,0,1,0,1
141,0,3,0,33.515151515151516,0,2,15.2458,0,0,1,0,1,0,0,2,0,0,8,0,1
142,1,3,0,22.0,0,0,7.75,2,0,1,0,1,0,1,0,1,0,8,1,0
143,1,3,0,24.0,1,0,15.85,2,0,1,0,1,0,1,1,0,0,8,0,1
144,0,3,1,19.0,0,0,6.75,1,0,1,1,0,0,1,0,1,0,8,1,0
145,0,2,1,18.0,0,0,11.5,2,0,1,1,0,0,1,0,1,0,8,0,1
146,0,2,1,19.0,1,1,36.75,2,0,1,1,0,0,1,2,0,0,8,0,1
147,1,3,1,27.0,0,0,7.7958,2,0,1,1,0,0,1,0,1,0,8,1,0
148,0,3,0,9.0,2,2,34.375,2,1,0,0,0,0,1,4,0,0,8,1,1
149,0,2,1,36.5,0,2,26.0,2,0,1,1,0,1,1,2,0,0,5,0,1
150,0,2,1,42.0,0,0,13.0,2,0,0,0,0,0,1,0,1,0,8,0,1
151,0,2,1,51.0,0,0,12.525,2,0,0,0,0,0,1,0,1,0,8,0,1
152,1,1,0,22.0,1,0,66.6,2,0,1,0,1,1,1,1,0,0,2,0,1
153,0,3,1,55.5,0,0,8.05,2,0,0,0,0,0,1,0,1,0,8,1,0
154,0,3,1,40.5,0,2,14.5,2,0,0,0,0,0,1,2,0,0,8,1,1
155,0,3,1,,0,0,7.3125,2,0,0,0,0,0,0,0,1,0,8,0,0
156,0,1,1,51.0,0,1,61.3792,0,0,0,0,0,0,1,1,0,0,8,0,1
157,1,3,0,16.0,0,0,7.7333,1,0,0,0,0,0,1,0,1,0,8,1,0
158,0,3,1,30.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,0,0
159,0,3,1,,0,0,8.6625,2,0,0,0,0,0,0,0,1,0,8,1,0
160,0,3,1,27.704778156996586,8,2,69.55,2,1,0,0,0,0,0,10,0,1,8,0,1
161,0,3,1,44.0,0,1,16.1,2,0,0,0,0,0,1,1,0,0,8,1,1
162,1,2,0,40.0,0,0,15.75,2,0,1,0,1,0,1,0,1,0,8,0,1
163,0,3,1,26.0,0,0,7.775,2,0,1,1,0,0,1,0,1,0,8,1,0
164,0,3,1,17.0,0,0,8.6625,2,0,0,0,0,0,1,0,1,0,8,1,0
165,0,3,1,1.0,4,1,39.6875,2,1,0,0,0,0,1,5,0,1,8,1,1
166,1,3,1,9.0,0,2,20.525,2,1,0,0,0,0,1,2,0,0,8,1,1
167,1,1,0,40.88235294117647,0,1,55.0,2,0,0,0,0,1,0,1,0,0,4,0,1
168,0,3,0,45.0,1,4,27.9,2,0,0,0,0,0,1,5,0,1,8,1,1
169,0,1,1,,0,0,25.925,2,0,0,0,0,0,0,0,1,0,8,0,1
170,0,3,1,28.0,0,0,56.4958,2,0,1,1,0,0,1,0,1,0,8,0,1
171,0,1,1,61.0,0,0,33.5,2,0,0,0,0,1,1,0,1,0,1,0,1
172,0,3,1,4.0,4,1,29.125,1,1,0,0,0,0,1,5,0,1,8,1,1
173,1,3,0,1.0,1,1,11.1333,2,1,0,0,0,0,1,2,0,0,8,1,1
174,0,3,1,21.0,0,0,7.925,2,0,1,1,0,0,1,0,1,0,8,0,0
175,0,1,1,56.0,0,0,30.6958,0,0,0,0,0,1,1,0,1,0,0,0,1
176,0,3,1,18.0,1,1,7.8542,2,0,1,1,0,0,1,2,0,0,8,1,0
177,0,3,1,27.704778156996586,3,1,25.4667,2,1,0,0,0,0,0,4,0,1,8,1,1
178,0,1,0,50.0,0,0,28.7125,0,0,0,0,0,1,1,0,1,0,2,0,1
179,0,2,1,30.0,0,0,13.0,2,0,1,1,0,0,1,0,1,0,8,0,1
180,0,3,1,36.0,0,0,0.0,2,0,1,1,0,0,1,0,1,0,8,1,0
181,0,3,0,16.1231884057971,8,2,69.55,2,1,0,0,0,0,0,10,0,1,8,0,1
182,0,2,1,,0,0,15.05,0,0,0,0,0,0,0,0,1,0,8,0,1
183,0,3,1,9.0,4,2,31.3875,2,1,0,0,0,0,1,6,0,1,8,1,1
184,1,2,1,1.0,2,1,39.0,2,1,0,0,0,1,1,3,0,0,5,0,1
185,1,3,0,4.0,0,2,22.025,2,1,0,0,0,0,1,2,0,0,8,1,1
186,0,1,1,,0,0,50.0,2,0,0,0,0,1,0,0,1,0,0,0,1
187,1,3,0,33.515151515151516,1,0,15.5,1,0,1,0,1,0,0,1,0,0,8,1,1
188,1,1,1,45.0,0,0,26.55,2,0,0,0,0,0,1,0,1,0,8,0,1
189,0,3,1,40.0,1,1,15.5,1,0,1,1,0,0,1,2,0,0,8,1,1
190,0,3,1,36.0,0,0,7.8958,2,0,1,1,0,0,1,0,1,0,8,1,0
191,1,2,0,32.0,0,0,13.0,2,0,1,0,1,0,1,0,1,0,8,0,1
192,0,2,1,19.0,0,0,13.0,2,0,1,1,0,0,1,0,1,0,8,0,1
193,1,3,0,19.0,1,0,7.8542,2,0,1,0,1,0,1,1,0,0,8,1,0
194,1,2,1,3.0,1,1,26.0,2,1,0,0,0,1,1,2,0,0,5,0,1
195,1,1,0,44.0,0,0,27.7208,0,0,0,0,0,1,1,0,1,0,1,0,1
196,1,1,0,58.0,0,0,146.5208,0,0,0,0,0,1,1,0,1,0,1,0,2
197,0,3,1,,0,0,7.75,1,0,0,0,0,0,0,0,1,0,8,1,0
198,0,3,1,42.0,0,1,8.4042,2,0,0,0,0,0,1,1,0,0,8,1,0
199,1,3,0,16.1231884057971,0,0,7.75,1,1,0,0,0,0,0,0,1,0,8,1,0
200,0,2,0,24.0,0,0,13.0,2,0,1,0,1,0,1,0,1,0,8,0,1
201,0,3,1,28.0,0,0,9.5,2,0,1,1,0,0,1,0,1,0,8,1,1
202,0,3,1,,8,2,69.55,2,0,0,0,0,0,0,10,0,1,8,0,1
203,0,3,1,34.0,0,0,6.4958,2,0,1,1,0,0,1,0,1,0,8,1,0
204,0,3,1,45.5,0,0,7.225,0,0,0,0,0,0,1,0,1,0,8,0,0
205,1,3,1,18.0,0,0,8.05,2,0,1,1,0,0,1,0,1,0,8,1,0
206,0,3,0,2.0,0,1,10.4625,2,1,0,0,0,1,1,1,0,0,6,1,1
207,0,3,1,32.0,1,0,15.85,2,0,1,1,0,0,1,1,0,0,8,1,1
208,1,3,1,26.0,0,0,18.7875,0,0,1,1,0,0,1,0,1,0,8,0,1
209,1,3,0,16.0,0,0,7.75,1,0,0,0,0,0,1,0,1,0,8,1,0
210,1,1,1,40.0,0,0,31.0,0,0,1,1,0,1,1,0,1,0,0,0,1
211,0,3,1,24.0,0,0,7.05,2,0,1,1,0,0,1,0,1,0,8,0,0
212,1,2,0,35.0,0,0,21.0,2,0,1,0,1,0,1,0,1,0,8,0,1
213,0,3,1,22.0,0,0,7.25,2,0,1,1,0,0,1,0,1,0,8,1,0
214,0,2,1,30.0,0,0,13.0,2,0,1,1,0,0,1,0,1,0,8,0,1
215,0,3,1,,1,0,7.75,1,0,0,0,0,0,0,1,0,0,8,1,0
216,1,1,0,31.0,1,0,113.275,0,0,1,0,1,1,1,1,0,0,3,1,2
217,1,3,0,27.0,0,0,7.925,2,0,1,0,1,0,1,0,1,0,8,0,0
218,0,2,1,42.0,1,0,27.0,2,0,0,0,0,0,1,1,0,0,8,0,1
219,1,1,0,32.0,0,0,76.2917,0,0,1,0,1,1,1,0,1,0,3,0,1
220,0,2,1,30.0,0,0,10.5,2,0,1,1,0,0,1,0,1,0,8,1,1
